id,name,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,bathrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost,minimum_nights,capacity_type
1044203179277052920,Apartamento artístico Leblon,Leblon,Casa/Apto Inteiro,6,2.0,2.0,1900.0,Alto,-22.982559912085406,-43.22533207610535,5.0,3,f,2,Grande (5+)
2950280,Copacabana: melhor localização e segurança,Copacabana,Casa/Apto Inteiro,2,0.0,1.0,157.0,Baixo,-22.9676,-43.18953,4.82,196,f,2,Pequeno (1-2)
11397293,Apartamento 200m2 para Olimpiadas,Recreio dos Bandeirantes,Casa/Apto Inteiro,6,3.0,3.0,1952.0,Alto,-23.02052,-43.46109,0.0,0,f,15,Grande (5+)
1339718585347651063,Ap vista pro Cristo/ Centro,Santo Cristo,Casa/Apto Inteiro,5,2.0,1.0,178.0,Baixo,-22.9040465,-43.2069759,5.0,4,f,2,Grande (5+)
564594116880464555,Kitinete encantador com excelente custo benefício,Maria da Graça,Casa/Apto Inteiro,3,0.0,1.0,97.0,Muito Baixo,-22.88503,-43.27019,4.92,26,t,2,Médio (3-4)
23247845,Very Cozy 2 Bedrooms Apart in Copacabana Rj.,Copacabana,Casa/Apto Inteiro,3,2.0,2.0,417.0,Médio-Baixo,-22.98053,-43.19146,4.67,9,f,3,Médio (3-4)
8426809,"Place in a closed, safe and quiet condo 90m2",Copacabana,Casa/Apto Inteiro,5,2.0,3.0,298.0,Baixo,-22.96160697937012,-43.17509460449219,4.96,140,t,3,Grande (5+)
1096660885714918087,Quarto amarelo,Santa Teresa,Quarto Privado,4,1.0,5.0,84.0,Muito Baixo,-22.92206608599286,-43.18917295210442,4.75,8,t,1,Médio (3-4)
32576948,Exclusive Studio em IPANEMA a 300m Praia com A/C,Ipanema,Casa/Apto Inteiro,4,1.0,1.0,342.0,Médio-Baixo,-22.98674,-43.19381,4.76,68,t,1,Médio (3-4)
1037121943110372328,Apartamento no coração de Copacabana,Copacabana,Casa/Apto Inteiro,7,2.0,2.0,311.0,Baixo,-22.966725,-43.18377780000001,5.0,22,t,2,Grande (5+)
21139750,Barra Home Stay |Apto completo com estacionamento,Jacarepaguá,Casa/Apto Inteiro,4,2.0,1.0,204.0,Baixo,-22.9671607,-43.3962554,4.82,49,t,3,Médio (3-4)
1079785160802915190,Perto da praia e lindo,Copacabana,Casa/Apto Inteiro,3,1.0,1.0,202.0,Baixo,-22.963295676654116,-43.1756217777729,4.9,29,f,2,Médio (3-4)
37656792,Sinta-se em casa em Ipanema!,Ipanema,Casa/Apto Inteiro,3,1.0,1.0,324.0,Médio-Baixo,-22.9852,-43.20996,0.0,0,f,2,Médio (3-4)
689721346383175224,Cobertura charmosa na Barra da Tijuca,Barra da Tijuca,Casa/Apto Inteiro,4,2.0,2.5,1045.0,Médio,-23.010153,-43.3336847,4.98,44,f,2,Médio (3-4)
7123967,Hello visitors Welcome to Rio de Janeiro,Taquara,Quarto Privado,2,1.0,2.0,330.0,Médio-Baixo,-22.911352569955984,-43.38438917696476,0.0,0,f,1,Pequeno (1-2)
1305314579084358305,Cantinho São Salvador,Flamengo,Casa/Apto Inteiro,2,1.0,1.0,,,-22.9334252,-43.17838649999999,5.0,2,f,3,Pequeno (1-2)
562241601719127823,Bem localizado Copacabana - Posto 4,Copacabana,Quarto Privado,2,1.0,1.0,151.0,Baixo,-22.9741,-43.19087,4.93,15,t,3,Pequeno (1-2)
48164373,Ipanema rainha 104,Ipanema,Casa/Apto Inteiro,2,1.0,1.0,440.0,Médio-Baixo,-22.98495,-43.19484,0.0,0,f,2,Pequeno (1-2)
1264662121514690599,"Apt. 140m2 ,varanda gourmet no Cond.Sublime",Recreio dos Bandeirantes,Casa/Apto Inteiro,6,3.0,3.0,480.0,Médio-Baixo,-23.00647,-43.45759,5.0,9,t,3,Grande (5+)
769455380766544297,Conforto na quadra da praia de Copacabana /posto 6,Copacabana,Casa/Apto Inteiro,5,2.0,1.0,1187.0,Médio-Alto,-22.98416,-43.19029,5.0,1,t,2,Grande (5+)
45718622,Studio Praia de Copacabana - Copacabana Beach,Copacabana,Casa/Apto Inteiro,4,0.0,1.0,301.0,Baixo,-22.98171,-43.19118,4.56,18,f,4,Médio (3-4)
1429005257727692346,SUH Botafogo 09 Compact Metro,Botafogo,Casa/Apto Inteiro,2,1.0,1.0,188.0,Baixo,-22.9497455,-43.1824266,0.0,0,f,1,Pequeno (1-2)
1247409419135669028,Península View Comodidade Lazer,Barra da Tijuca,Casa/Apto Inteiro,6,3.0,3.0,925.0,Médio,-22.9872238,-43.3574132,5.0,5,,3,Grande (5+)
21743429,⚜︎⚜︎ The Best Hostel in ☼ Rio! ☞ Awesome Location,Botafogo,Quarto Privado,4,1.0,1.0,,,-22.95455,-43.1864,0.0,0,t,1,Médio (3-4)
528558,"Great space in  Ipanema! 3BR,  2,5 B",Ipanema,Casa/Apto Inteiro,6,3.0,2.5,1200.0,Médio-Alto,-22.98346,-43.19993,4.0,8,f,4,Grande (5+)
1393635509264981181,Quarto privado em Ipanema!,Ipanema,Quarto Privado,3,1.0,1.0,550.0,Médio-Baixo,-22.98215580523251,-43.20215837022771,0.0,0,f,2,Médio (3-4)
1136945057743673881,Apartamento completo 2 quartos,Flamengo,Casa/Apto Inteiro,4,2.0,1.5,223.0,Baixo,-22.94004,-43.17514,4.77,43,f,2,Médio (3-4)
53903432,Leblon “Room & Comfort”,Leblon,Quarto Privado,1,1.0,1.0,,,-22.983463,-43.217602,5.0,38,f,2,Pequeno (1-2)
9513618,Temporada em Copacabana a uma quadra da praia,Copacabana,Casa/Apto Inteiro,3,1.0,1.0,310.0,Baixo,-22.96463,-43.17488,4.98,44,t,3,Médio (3-4)
